nik,status_bansos
3204166610100000,rejected
3204166409100001,accepted
3204165010100002,rejected
3204164107100003,accepted
3204165504100004,rejected
3204164406100005,rejected
3204164709100006,rejected
3204160708100007,accepted
3204165002100008,rejected
3204160101100009,rejected
3204160502100010,rejected
3204166805100011,rejected
3204164107100012,rejected
3204164107100013,accepted
3204164808100014,accepted
3204166101100015,rejected
1207235901100016,rejected
3204164101100017,accepted
3204164107100018,rejected
3204164107100019,rejected
3204165209100020,rejected
3204175409100021,rejected
3204385078100022,rejected
3204162612100023,accepted
3204161003100024,rejected
3204165504100025,accepted
3204165111100026,rejected
3204162309100027,accepted
3204165404100028,accepted
3204165102100029,rejected
3204164510100030,rejected
3204164502100031,rejected
3204164505100032,rejected
3204164101100033,rejected
3204164503100034,rejected
3204165510100035,accepted
3204165205100036,rejected
3204165003100037,accepted
3204166911100038,rejected
3204160107100039,rejected
3204164907100040,rejected
3204166306100041,accepted
3204164503100042,accepted
3204165010100043,rejected
3204165402100044,rejected
3204164406100045,accepted
3204164505100046,rejected
3204161004100047,accepted
3204164107100048,accepted
3204164705100049,accepted
3204166406100050,rejected
3204165102100051,accepted
3204164107100052,rejected
3204164103100053,accepted
3204164206100054,rejected
3204162311100055,rejected
3204165704100056,rejected
3204164805100057,accepted
3204165002100058,rejected
3204164304100059,accepted
3204165601100060,rejected
3204166102100061,rejected
3204165503100062,rejected
3204166003100063,rejected
3204165212100064,rejected
3204165607100065,rejected
3204165002100066,accepted
3204165802100067,rejected
3204166507100068,accepted
3204165108100069,rejected
3204164404100070,accepted
3204160812100071,rejected
3204164709100072,rejected
3204164202100073,rejected
3204326522100074,accepted
3204164107100075,rejected
3204164107100076,rejected
3204164505100077,rejected
3204166304100078,accepted
3204164311100079,rejected
3204164107100080,rejected
3205184107100081,rejected
3204162101100082,rejected
3204164903100083,rejected
3204165002100084,rejected
3204164907100085,rejected
3204164203100086,accepted
3204164402100087,rejected
3204164603100088,accepted
3204162801100089,rejected
3204164406100090,rejected
3204164802100091,rejected
3204166404100092,accepted
3204164403100093,accepted
3204164312100094,accepted
3204164808100095,accepted
3204164201100096,accepted
3204160510100097,rejected
3204166911100098,accepted
3204164406100099,accepted
3204167103100100,rejected
3204162102100101,rejected
3204164804100102,rejected
3204164602100103,rejected
3204165103100104,rejected
3204146705100105,rejected
3204161586100106,rejected
3204164506100107,accepted
3204164107100108,accepted
3204166001100109,rejected
3204324501100110,rejected
3204325309100111,accepted
3204326306100112,rejected
3204325512100113,accepted
3273225402100114,rejected
3204324501100115,rejected
3273225402100116,accepted
3204326112100117,rejected
3204326502100118,accepted
3204321901100119,accepted
3204325601100120,rejected
3204325604100121,rejected
3204325604100122,rejected
3204326604100123,accepted
